INCIDENT_ID,FIRED_ID,FIRED_ACRES,FIRED_SIMPLE_FSR,FIRED_MAX_GROWTH,FIRED_IG_LON,FIRED_IG_LAT
2001_CA-CNF-12_VIEJAS,292,9229.522274897137,512.7512374942854,7107.793016300095,-116.76365106881066,32.777083330363716
2001_FL-FLS-14-129_STAGECOACH,490,8699.089960247875,310.681784294567,2599.118341781378,-81.74686870296132,28.20624999743948
2001_FL-FLS-18-148_PICKUP FIRE,945,12730.375551582258,707.2430861990143,5728.668998212016,-80.78152498675203,26.281249997611773
2001_SC-SHQ-001_PINEWOOD,1301,2333.9021844567474,194.49184870472894,1485.21048101793,-80.47895487822595,33.772916663607916
2001_FL-FLS-17-211_CATHERINE ISLAND,1326,53.04323146492607,53.04323146492607,53.04323146492607,-81.45054487358294,26.247916664281433
2001_FL-FNF-01049_COUNTY LINE,1601,742.605240508965,67.5095673189968,212.17292585970432,-84.55185286337917,30.277083330587462
2001_MT-SOS-89001_SVENSON FIRE,1625,1007.8213978335955,201.56427956671908,530.432314649261,-109.49125972821676,45.82291666252939
2001_FL-EVP-01004_LOPEZ,1668,530.432314649261,106.08646292985215,265.21615732463044,-80.57150460588915,25.52708333101261
2001_AZ-CNF-060_NORTH STAR,1706,2121.7292585970436,265.21615732463044,901.7349349037434,-110.41769582098355,32.08958333042524
2001_FL-EAQ-015049_A-78 WILDFIRE,1730,1485.21048101793,371.3026202544825,636.5187775791129,-86.77457947908384,30.46041666390439
2001_GA-OKR-01002_CRAVEN'S ISLAND,1840,1166.9510922283737,61.418478538335464,424.3458517194087,-82.34654745799631,30.91458333053041
2001_NV-CCD-X619_WARRIOR,1876,5092.150220632903,727.4500315189863,3023.4641935007867,-119.67185798995806,39.960416663054104
2001_CA-LMU-1100_DEVIL,1906,4455.6314430537905,556.9539303817238,3076.5074249657123,-120.69620492428643,40.40624999634754
2001_ID-BOD-F136_DESERT DUCK,1939,636.5187775791129,127.30375551582259,424.3458517194087,-115.81408455777016,43.26458332942504
2001_GA-OKR-01005_BLACK JACK LAKE,1977,2493.0318788515256,207.75265657096045,1166.9510922283737,-82.2854824693545,30.656249997220197
2001_NM-LCD-L403_VALENCY,1998,2493.0318788515256,311.6289848564407,795.6484719738911,-109.0160171454712,31.327083330493483
2001_UT-SLD-090_TIMPIE,2014,2811.2912676410824,165.3700745671225,1909.556332737339,-112.61189427119828,40.71458332965327
2001_CA-LKR-30_CLEAR,2052,2493.0318788515256,207.75265657096045,1909.556332737339,-121.12375746201307,41.86874999621664
2001_UT-UIF-18044_NEBO CREEK,2095,4349.544980123937,181.23104083849745,1644.3401754127083,-111.56411132202835,39.85208332973046
2001_NM-N3S-_ROUGH CREEK,2118,212.17292585970432,212.17292585970432,212.17292585970432,-108.7113328927092,31.502083330477824
2001_NV-NNS-478_BISHOP,2128,2652.1615732463038,331.520196655788,2015.642795667191,-114.8970089587576,41.23958332960628
2001_NV-EKD-507_WINE CUP,2129,7054.7497848351695,881.8437231043961,6577.360701650833,-114.77232199352196,41.2979166629344
2001_CA-NEU-9855_MARTIS,2131,371.3026202544825,53.04323146492607,159.12969439477823,-120.0420723529798,39.36874999644039
2001_NV-EKD-516_MAGGIE CREEK,2135,9070.39258050236,1007.8213978335955,3872.1558969396033,-116.09338961627694,40.86041666297354
2001_NV-EKD-464_WEST PEQUOPS,2136,3978.2423598694554,497.2802949836819,1219.9943236932997,-114.63608583805232,41.17291666294559
2001_NV-WID-0077_STANDARD,2148,318.25938878955645,53.04323146492607,212.17292585970432,-118.19623734863276,40.50624999633859
2001_CO-CRD-206_GREASEWOOD COMPLEX,2153,742.605240508965,123.76754008482753,424.3458517194087,-108.46012527145932,40.08541666304292
2001_NV-NNS-497_EGBERT,2166,371.3026202544825,185.65131012724126,318.25938878955645,-115.06105594995478,40.802083329645434
2001_WY-RAD-053_BEAVER RIM,2177,318.25938878955645,318.25938878955645,318.25938878955645,-108.46542106615856,42.59791666281805
2001_UT-NWS-258_ANTELOPE 4,2181,3659.9829710799,609.9971618466499,2439.9886473865995,-112.23494347435675,40.972916662963485
2001_ID-BOD-F174_NORTH CAN,2190,477.38908318433477,95.47781663686695,212.17292585970432,-114.79756760011044,42.0937499961965
2001_OR-VAD-105_CROWLEY,2191,3606.9397396149734,327.9036126922702,3023.4641935007867,-117.94300010307424,43.356249996083505
2001_ID-CWS-43005_COTTONWOOD CREEK,2219,583.4755461141868,116.69510922283736,318.25938878955645,-116.71065108442728,45.99791666251373
2001_WA-OKF-049_THIRTY MILE,2231,8752.133191712803,364.67221632136676,3819.112665474678,-119.9950537379044,48.83958332892606
2001_AZ-PNF-486_PINE,2235,6206.058081396351,282.0935491543796,2174.7724900619687,-111.78629154369192,34.34791666355645
2001_OR-PRD-740_ROCK CREEK,2242,8805.176423177729,628.9411730841235,4826.934063308273,-120.39864187307111,45.51874999588995
2001_WA-OKF-048_LIBBY SOUTH,2244,2652.1615732463038,530.432314649261,848.6917034388173,-120.15686237846192,48.23124999564717
2001_UT-NWS-343_THIOKOL,2274,2758.248036176156,689.562009044039,1060.8646292985218,-112.41292585244116,41.68124999623342
2001_UT-NWS-337_FORT RANCH,2275,37978.95372888708,3797.8953728887077,11934.727079608369,-112.54335237751508,41.57708332957608
2001_WA-COA-094_THE DAM TOWER,2277,2386.9454159216734,216.9950378110612,1326.0807866231519,-118.93500912846288,47.96874999567066
2001_ID-SID-G331_MAINHEGLAR,2286,4986.063757703051,1662.0212525676836,4720.847600378421,-113.18768641565109,42.51458332949216
2001_UT-SLD-326_WILDCAT HILLS,2287,106.08646292985215,35.36215430995072,53.04323146492607,-112.82972073293335,41.79791666288965
2001_UT-SLD-347_LITTLE FIELD,2291,318.25938878955645,318.25938878955645,318.25938878955645,-112.99587736368017,41.86041666288405
2001_ID-BOD-F213_NORTH SLATER,2335,1273.0375551582258,318.25938878955645,689.562009044039,-115.99257222282304,43.42708332941049
2001_UT-RID-9895_KEG MOUNTAIN,2336,2068.6860271321166,413.73720542642343,1485.21048101793,-112.9215963535423,39.806249996401235
2001_CO-LSD-348_ECKLUND COMPLEX,2340,2439.9886473865995,487.9977294773198,1697.3834068776346,-108.92949594238225,40.66458332965775
2001_UT-NWS-385_BEEF HOLLOW,2342,7426.05240508965,1485.21048101793,5993.885155536646,-111.96127377546176,40.44791666301048
2001_ID-BOD-F203_SAND HOLLOW,2349,212.17292585970432,70.72430861990144,159.12969439477823,-116.68523893477312,43.977083329361264
2001_ID-BOD-F210_BIG KNOB,2359,7744.3117938792075,1548.8623587758414,7691.2685624142805,-115.35916345766805,42.67708332947762
2001_NV-EKD-671_WEST LITTLE HUMBOLDT,2370,530.432314649261,88.40538577487679,424.3458517194087,-116.8945072792273,41.38958332959286
2001_WA-WFS-011940_PORT KELLY,2398,7266.922710694874,346.04393860451773,6206.058081396351,-118.866435469503,46.043749995842965
2001_WY-BTF-056_GREEN KNOLL,2435,4667.804368913495,359.0618745318073,1273.0375551582258,-110.91507641719149,43.43958332940937
2001_NV-EKD-X231_TABOR CREEK,2473,7213.879479229947,901.7349349037434,3553.896508150048,-115.0133830167472,41.41874999625691
2001_CA-LMU-01992_GRASSHOPPER,2477,901.7349349037434,180.34698698074865,636.5187775791129,-120.72029135239632,40.81458332964433
